op,target,delta,accepted,reason,old_epoch,new_epoch,old_t,new_t,old_exposure,final_exposure,transient_exposure,live_rows,stale_rows,public_rows,cert_weight,cert_verified,exact_final_rank,exact_transient_rank,metadata_guard_ns,cert_online_ns,cert_full_ns,local_compute_ns,local_verify_ns,local_update_ns,local_total_ns,total_ns,exact_rank_audit_ns
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,19584,60495000,59620292,36364875,133558209,0,252234375,372372125,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,20084,59252042,57669084,27348958,47476541,73417,150313625,267256917,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,19458,55125459,79457542,28323625,52910208,80167,163467333,298072458,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,19042,56318375,56570417,23396375,13764000,407500,110182375,223094958,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,17292,49124292,59025125,41007416,130199916,0,245174000,353344042,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,17250,61955958,59659416,26922416,51187084,75416,150412500,272048167,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,22833,243236250,58978875,27427625,55380041,93875,179840583,482081417,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,19459,57747625,60350250,26005875,17285833,550208,119991417,238112125,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,24375,60395250,56147667,32009750,114112042,0,218122375,334692875,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,16250,51170042,52259167,21747542,47680000,50708,141519916,244967750,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,19125,56115417,54568333,26547583,50230500,65292,150737833,261445958,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,35250,59656667,59135167,25868625,13761334,543625,115946084,234776125,0
