=== Uniform Weight Distribution Mode ===

--- Execution Info ---
Total Participants: 16
Total Threshold(Weight): 20
Maximum Weight: 4

Signing Participants:
Participant 0 (Weight: 1)
Participant 1 (Weight: 2)
Participant 2 (Weight: 3)
Participant 3 (Weight: 4)
Participant 4 (Weight: 1)
Participant 5 (Weight: 2)
Participant 6 (Weight: 3)
Participant 7 (Weight: 4)
Signing Participants Total Weight: 20

# REG-ADAPT benchmark
# args_N=40 args_threshold=20 setup_ns=153040166 repeats=30 target=0 cert=full local=true stale_ttl=2 sequence=false audit_exact=false audit_point_offset=0
# ADAPT-style sequence demo under REG metadata guard
# demo_step=1 op=TIncrease delta=50 accepted=true old_t=100 new_t=150 final_exposure=99 transient_exposure=99 reason="accepted"
# demo_step=2 op=WIncrease delta=50 accepted=true old_t=150 new_t=150 final_exposure=149 transient_exposure=149 reason="accepted"
# demo_step=3 op=TDecrease delta=50 accepted=false old_t=150 new_t=100 final_exposure=199 transient_exposure=249 reason="final exposure reaches threshold"
# exact-rank tightness demo threshold=2 conservative_final=2 exact_final=1 conservative_rejects=true exact_accepts=true
op,target,delta,accepted,reason,old_epoch,new_epoch,old_t,new_t,old_exposure,final_exposure,transient_exposure,live_rows,stale_rows,public_rows,cert_weight,cert_verified,exact_final_rank,exact_transient_rank,metadata_guard_ns,cert_online_ns,cert_full_ns,local_compute_ns,local_verify_ns,local_update_ns,local_total_ns,total_ns,exact_rank_audit_ns
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,14208,0,11412333,5316875,6894334,20417,22197083,33624292,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,14791,0,11143583,5592750,8681208,25458,24273416,35432917,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,17000,0,12159584,4960250,4262375,227167,21038833,33215875,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,14042,0,11426958,7873792,25064500,0,42995541,54436833,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,14500,0,10929375,5103584,7147292,15667,22281625,33226375,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,14958,0,11396209,5439542,8012125,42541,23600625,35012792,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,19375,0,12030125,12420167,11569125,1311500,36922167,48972875,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,19542,0,37786917,10434917,30961750,0,53477417,91285291,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,20292,0,15513417,5879250,7312000,27834,25030541,40567708,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,18250,0,11987000,5635292,8443083,32833,25973625,37979916,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,19083,0,12677625,5123750,5455917,267708,22681417,35379417,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,17500,0,11957666,8492875,30214500,0,50567417,62552583,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,17625,0,12058083,5489875,7327292,39959,24714750,36791667,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,18209,0,12161584,6671584,8405875,20083,26927750,39108458,0
