=== Uniform Weight Distribution Mode ===

--- Execution Info ---
Total Participants: 8
Total Threshold(Weight): 10
Maximum Weight: 4

Signing Participants:
Participant 0 (Weight: 1)
Participant 1 (Weight: 2)
Participant 2 (Weight: 3)
Participant 3 (Weight: 4)
Signing Participants Total Weight: 10

# REG-ADAPT benchmark
# args_N=20 args_threshold=10 setup_ns=26110292 repeats=30 target=0 cert=none local=true stale_ttl=2 sequence=false audit_exact=false audit_point_offset=0
# ADAPT-style sequence demo under REG metadata guard
# demo_step=1 op=TIncrease delta=50 accepted=true old_t=100 new_t=150 final_exposure=99 transient_exposure=99 reason="accepted"
# demo_step=2 op=WIncrease delta=50 accepted=true old_t=150 new_t=150 final_exposure=149 transient_exposure=149 reason="accepted"
# demo_step=3 op=TDecrease delta=50 accepted=false old_t=150 new_t=100 final_exposure=199 transient_exposure=249 reason="final exposure reaches threshold"
# exact-rank tightness demo threshold=2 conservative_final=2 exact_final=1 conservative_rejects=true exact_accepts=true
op,target,delta,accepted,reason,old_epoch,new_epoch,old_t,new_t,old_exposure,final_exposure,transient_exposure,live_rows,stale_rows,public_rows,cert_weight,cert_verified,exact_final_rank,exact_transient_rank,metadata_guard_ns,cert_online_ns,cert_full_ns,local_compute_ns,local_verify_ns,local_update_ns,local_total_ns,total_ns,exact_rank_audit_ns
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,0,0,15250,0,0,2394250,3338542,23833,8020625,8036375,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,0,0,20833,0,0,2108625,1812167,185750,5927000,5948709,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,0,0,26583,0,0,3206000,6801250,0,12118250,12145875,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,0,0,15042,0,0,2861875,2980167,24917,7779125,7795750,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,0,0,18209,0,0,3126958,3438083,39791,8782750,8801708,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,0,0,17291,0,0,2619250,2136833,248125,7292958,7311125,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,0,0,17416,0,0,3620292,8024541,0,13850333,13868209,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,0,0,29083,0,0,2741458,3288708,18250,9665125,9705834,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,0,0,33334,0,0,2950583,3019833,32166,8261792,8296459,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,0,0,18500,0,0,2436250,2021250,171750,6734750,6754000,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,0,0,17292,0,0,3567208,9628625,0,16143084,16161125,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,0,0,17750,0,0,3446042,3428333,29791,9839792,9858833,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,0,0,17875,0,0,3035250,5298750,17375,10860125,10878792,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,0,0,18917,0,0,2843041,3478500,207708,9028625,9049292,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,0,0,19000,0,0,4069833,7032666,0,13454209,13473917,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,0,0,16709,0,0,2728375,3502583,36292,8352584,8370083,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,0,0,17875,0,0,2624959,2735292,11083,7562750,7581375,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,0,0,16333,0,0,2454584,1995833,201875,6675375,6692250,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,0,0,16875,0,0,3536000,6725667,0,12697875,12715583,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,0,0,21667,0,0,2339875,3768500,17917,8140042,8163125,0
