=== Uniform Weight Distribution Mode ===

--- Execution Info ---
Total Participants: 16
Total Threshold(Weight): 20
Maximum Weight: 4

Signing Participants:
Participant 0 (Weight: 1)
Participant 1 (Weight: 2)
Participant 2 (Weight: 3)
Participant 3 (Weight: 4)
Participant 4 (Weight: 1)
Participant 5 (Weight: 2)
Participant 6 (Weight: 3)
Participant 7 (Weight: 4)
Signing Participants Total Weight: 20

# REG-ADAPT benchmark
# args_N=40 args_threshold=20 setup_ns=160072958 repeats=30 target=0 cert=both local=true stale_ttl=2 sequence=false audit_exact=false audit_point_offset=0
# ADAPT-style sequence demo under REG metadata guard
# demo_step=1 op=TIncrease delta=50 accepted=true old_t=100 new_t=150 final_exposure=99 transient_exposure=99 reason="accepted"
# demo_step=2 op=WIncrease delta=50 accepted=true old_t=150 new_t=150 final_exposure=149 transient_exposure=149 reason="accepted"
# demo_step=3 op=TDecrease delta=50 accepted=false old_t=150 new_t=100 final_exposure=199 transient_exposure=249 reason="final exposure reaches threshold"
# exact-rank tightness demo threshold=2 conservative_final=2 exact_final=1 conservative_rejects=true exact_accepts=true
op,target,delta,accepted,reason,old_epoch,new_epoch,old_t,new_t,old_exposure,final_exposure,transient_exposure,live_rows,stale_rows,public_rows,cert_weight,cert_verified,exact_final_rank,exact_transient_rank,metadata_guard_ns,cert_online_ns,cert_full_ns,local_compute_ns,local_verify_ns,local_update_ns,local_total_ns,total_ns,exact_rank_audit_ns
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,17917,10862834,12573084,7030541,25330167,0,43251750,66707084,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,16833,11403791,11477750,5112542,7231542,15250,23538958,46438750,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,15416,10829500,11730834,5501625,7874833,18584,23337334,45914000,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,15291,11861250,12208250,5031584,4248833,221708,21389000,45475000,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,15458,11002791,11784084,7021417,25763458,0,43941709,66744916,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,15666,11037250,11475708,5248084,7234500,18584,22645208,45174834,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,15083,11414041,11131750,5439375,8002250,16542,23595666,46157459,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,14625,11750250,12730708,5027792,4268375,225875,20247041,44743875,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,15208,10985666,10952750,7652167,25346583,0,43100334,65054791,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,15292,11178000,11218833,5204541,7753458,29250,23119000,45532125,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,15000,10865666,11257625,5448791,7630667,21208,23171791,45310833,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,14042,11758541,12389625,4979208,4226000,226583,20946833,45109791,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,15125,11131417,11410959,6924208,25483500,0,42527375,65085750,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,14958,11204125,10990583,5821250,6976666,21666,22934208,45144375,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,14708,10859291,11084500,5573084,7926042,20167,23774959,45734583,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,14917,12537500,12549917,5001584,4211584,223083,21137792,46242083,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,14750,11159584,11539000,7769292,25232584,0,43065250,65780875,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,16458,12016166,15824125,5041167,7508500,15250,24030583,51888916,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,17958,13008750,16535583,10337292,9168375,24166,37006083,66570542,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,17625,14551791,13448167,5375417,4895833,677375,23022959,51042875,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,17708,12953125,12662292,7540166,29680375,0,49217666,74852292,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,19167,14016792,13278875,5906709,7338875,22209,24992125,52309750,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,18209,12123875,13266167,5857750,8347500,26042,25825542,51236166,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,18167,12209875,12217375,5649708,5004916,254083,22753666,47201042,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,17750,12069417,12930583,7924708,28059208,0,47845292,72864334,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,15916,11169375,12214708,5407167,6959375,27791,23207958,46609042,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,17250,12898542,12192084,6372417,8508333,19958,25541500,50650833,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,15291,13509833,12185209,5774291,4263708,224375,21771125,47482667,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,15458,12984875,12683083,6791875,25040042,0,42281750,67966000,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,15792,11260250,11205458,5846625,7257541,21083,23434292,45917250,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,17000,11306375,11297167,5434125,10621041,25417,27888209,50518917,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,20042,12200458,12041000,5212000,4514208,223083,21537750,45800166,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,14458,11278833,11126833,6900958,25267125,0,42382375,64803583,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,15125,10805417,11296541,5175166,6947083,21834,22523541,44641542,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,15750,10997417,11260958,6088375,7983334,23583,24151084,46426667,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,15334,11941667,12331709,4995416,4796625,247292,21929833,46219333,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,15292,10910334,11889792,6956750,25338792,0,43198208,66014333,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,15125,11098500,11483250,5024291,7138667,15917,22351375,44949542,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,15291,11063000,11888375,5706708,7934500,18708,23612542,46579958,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,14667,11876000,12275000,6111542,4220042,234959,21007417,45174750,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,15167,11605167,11026584,6968167,25317750,0,42612625,65260334,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,15333,11708458,10904416,5156750,7140000,15625,22477375,45107167,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,16125,11127625,11227083,5223083,7772792,22167,23192792,45564291,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,15083,11424125,13031833,5198041,4277166,217500,20614375,45086791,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,14208,11132708,11015916,7014334,25473917,0,42879291,65042667,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,15125,11108209,10986500,5548250,7167458,18083,22912375,45023542,0
