=== Uniform Weight Distribution Mode ===

--- Execution Info ---
Total Participants: 32
Total Threshold(Weight): 40
Maximum Weight: 4

Signing Participants:
Participant 0 (Weight: 1)
Participant 1 (Weight: 2)
Participant 2 (Weight: 3)
Participant 3 (Weight: 4)
Participant 4 (Weight: 1)
Participant 5 (Weight: 2)
Participant 6 (Weight: 3)
Participant 7 (Weight: 4)
Participant 8 (Weight: 1)
Participant 9 (Weight: 2)
Participant 10 (Weight: 3)
Participant 11 (Weight: 4)
Participant 12 (Weight: 1)
Participant 13 (Weight: 2)
Participant 14 (Weight: 3)
Participant 15 (Weight: 4)
Signing Participants Total Weight: 40

# REG-ADAPT benchmark
# args_N=80 args_threshold=40 setup_ns=1648320792 repeats=30 target=0 cert=online local=true stale_ttl=2 sequence=false audit_exact=false audit_point_offset=0
# ADAPT-style sequence demo under REG metadata guard
# demo_step=1 op=TIncrease delta=50 accepted=true old_t=100 new_t=150 final_exposure=99 transient_exposure=99 reason="accepted"
# demo_step=2 op=WIncrease delta=50 accepted=true old_t=150 new_t=150 final_exposure=149 transient_exposure=149 reason="accepted"
# demo_step=3 op=TDecrease delta=50 accepted=false old_t=150 new_t=100 final_exposure=199 transient_exposure=249 reason="final exposure reaches threshold"
# exact-rank tightness demo threshold=2 conservative_final=2 exact_final=1 conservative_rejects=true exact_accepts=true
op,target,delta,accepted,reason,old_epoch,new_epoch,old_t,new_t,old_exposure,final_exposure,transient_exposure,live_rows,stale_rows,public_rows,cert_weight,cert_verified,exact_final_rank,exact_transient_rank,metadata_guard_ns,cert_online_ns,cert_full_ns,local_compute_ns,local_verify_ns,local_update_ns,local_total_ns,total_ns,exact_rank_audit_ns
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,16041,43441416,0,20310791,12270208,314584,94326833,137785292,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,14791,44137291,0,28974083,96572625,0,184129417,228282625,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,14875,41629000,0,19937250,36141292,28125,113769041,155414042,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,16250,44777875,0,20546666,38441333,43333,117709958,162504791,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,15792,44656750,0,19784333,11478000,317583,91008167,135681500,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,14292,43956125,0,27117625,94903625,0,180367291,224338750,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,14792,41846375,0,19545250,31985875,27958,109276542,151138500,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,14584,44416375,0,18670000,36939792,46291,113756625,158188917,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,15791,43525167,0,18720708,11006083,330625,89606458,133148625,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,14458,45218667,0,27858166,97920916,0,231067250,276302125,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,14500,41653000,0,22793375,38040708,28459,118542625,160211541,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,16875,46164292,0,21663417,37795584,57542,119729291,165911500,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,15917,44832292,0,19154375,10867375,337458,91126000,135974792,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,16416,45179541,0,29385041,94952333,0,182068209,227265000,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,14333,42696666,0,19187292,34344666,25125,111224875,153936750,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,14625,44635875,0,21254334,38161750,40042,116907292,161558584,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,16042,46424291,0,20558542,11037666,310209,91391166,137832167,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,14625,42117084,0,26441375,94727000,0,179452042,221584458,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,14000,41353750,0,18685458,36870584,26334,113374709,154743292,0
