op,target,delta,accepted,reason,old_epoch,new_epoch,old_t,new_t,old_exposure,final_exposure,transient_exposure,live_rows,stale_rows,public_rows,cert_weight,cert_verified,exact_final_rank,exact_transient_rank,metadata_guard_ns,cert_online_ns,cert_full_ns,local_compute_ns,local_verify_ns,local_update_ns,local_total_ns,total_ns,exact_rank_audit_ns
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,18000,0,57955708,23150375,45482709,73792,140377084,198354000,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,16875,0,177546333,25369500,55486750,108000,165051125,342616750,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,19250,0,56242875,25764917,13830792,367083,111513000,167777084,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,18209,0,59074667,30837583,119601500,0,218984459,278079500,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,19084,0,48717250,25582792,50089000,66541,146587875,195326166,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,21625,0,52820875,28696667,70002791,91041,171430333,224273958,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,18959,0,52322708,26888917,14366500,834000,113711500,166055042,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,17000,0,58211000,39900958,119075042,0,228635125,286865000,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,22291,0,53415834,22174042,43064458,28625,135225792,188666125,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,17667,0,47854000,29692208,46719625,79208,144616208,192489292,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,19833,0,57866792,28749542,15313542,546000,117874917,175763208,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,17125,0,53751041,30469792,118052750,0,219626667,273396583,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,16458,0,49880666,26737500,44848000,49500,145015667,194914791,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,17500,0,56994708,30806042,57726583,81416,208056292,265070708,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,41250,0,57193541,24329750,16399167,445916,119025875,176262834,0
