op,target,delta,accepted,reason,old_epoch,new_epoch,old_t,new_t,old_exposure,final_exposure,transient_exposure,live_rows,stale_rows,public_rows,cert_weight,cert_verified,exact_final_rank,exact_transient_rank,metadata_guard_ns,cert_online_ns,cert_full_ns,local_compute_ns,local_verify_ns,local_update_ns,local_total_ns,total_ns,exact_rank_audit_ns
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,14583,4166833,4411917,2198042,1938709,173458,6586958,15181583,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,16792,4518334,4165208,2524750,5765833,0,10293500,18994917,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,15000,4090542,4486333,2101041,2599167,10500,6447125,15040125,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,14208,4026792,3998542,2194083,2584834,9000,6755875,14795834,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,14333,4080042,4008334,1925958,1834583,173458,5670542,13773708,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,14541,4119500,4096792,3022958,5952792,0,10764791,18996333,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,14667,4072417,4223792,2394667,2376625,9333,6521250,14833542,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,14625,4082000,4209625,2355333,2772708,11292,6886416,15193459,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,14958,4042625,4176208,2029667,1669500,204833,5631625,13866042,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,13583,4135500,4410083,2725583,5921334,0,10387416,18947333,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,14333,4131583,4267375,2080708,2462042,12208,6284583,14698542,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,14333,4311291,4235458,2329625,2626167,9625,6697500,15259125,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,13750,3985458,4288292,2042500,1667333,148333,5615834,13903958,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,13625,4080083,4079666,2993500,5650958,0,10392208,18565875,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,13875,4200833,4247125,2157583,2459208,7875,6387041,14849541,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,14667,3574250,4342375,2209958,2715667,9166,6699500,14631375,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,14250,4072875,4448959,2052291,1709750,152209,5653083,14190125,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,14375,4000708,4238584,2621625,5671500,0,10296292,18550500,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,14084,4073042,4398167,2080875,2485875,10417,6312208,14798542,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,14125,4171416,4258125,2612542,2220166,11833,6769042,15213792,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,15333,4095500,4246458,2019333,1675167,159625,5840417,14198208,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,13625,4099042,4160750,3176375,5782000,0,10699042,18973666,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,15750,4084459,4218584,2017000,2393500,9625,6165792,14485125,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,15125,4529250,4208500,2453750,2620375,12500,6822125,15575458,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,14083,4146375,4211708,2041083,1741916,203333,5717875,14090750,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,14042,3947291,4253417,2964709,5827708,0,10535459,18750541,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,14375,4016125,4231042,2188041,2690209,20375,6625917,14888333,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,14541,4102042,4227541,2065666,2601375,12791,6411166,14756084,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,13458,4116458,4273500,2052167,1666125,167666,5623958,14027917,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,13834,4167292,4231792,3244167,5691709,0,10706583,19119875,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,13958,4195500,4188250,2045292,2475708,10541,6273875,14672041,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,14667,4184500,4347583,2371875,2207750,8416,6355792,14904000,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,13458,4157625,4110209,2046959,1682875,164542,5680209,13961917,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,13750,4069125,4270417,3026708,5677833,0,10447750,18802416,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,13333,4122500,4254708,2208166,2432875,7958,6396708,14788250,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,14458,4045750,4424917,2090625,2602416,8833,6502667,14988417,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,14000,4039042,4579625,1624583,1700208,159417,5404000,14037334,0
