=== Uniform Weight Distribution Mode ===

--- Execution Info ---
Total Participants: 32
Total Threshold(Weight): 40
Maximum Weight: 4

Signing Participants:
Participant 0 (Weight: 1)
Participant 1 (Weight: 2)
Participant 2 (Weight: 3)
Participant 3 (Weight: 4)
Participant 4 (Weight: 1)
Participant 5 (Weight: 2)
Participant 6 (Weight: 3)
Participant 7 (Weight: 4)
Participant 8 (Weight: 1)
Participant 9 (Weight: 2)
Participant 10 (Weight: 3)
Participant 11 (Weight: 4)
Participant 12 (Weight: 1)
Participant 13 (Weight: 2)
Participant 14 (Weight: 3)
Participant 15 (Weight: 4)
Signing Participants Total Weight: 40

# REG-ADAPT benchmark
# args_N=80 args_threshold=40 setup_ns=1321931541 repeats=30 target=0 cert=none local=false stale_ttl=2 sequence=false audit_exact=true audit_point_offset=0
# ADAPT-style sequence demo under REG metadata guard
# demo_step=1 op=TIncrease delta=50 accepted=true old_t=100 new_t=150 final_exposure=99 transient_exposure=99 reason="accepted"
# demo_step=2 op=WIncrease delta=50 accepted=true old_t=150 new_t=150 final_exposure=149 transient_exposure=149 reason="accepted"
# demo_step=3 op=TDecrease delta=50 accepted=false old_t=150 new_t=100 final_exposure=199 transient_exposure=249 reason="final exposure reaches threshold"
# exact-rank tightness demo threshold=2 conservative_final=2 exact_final=1 conservative_rejects=true exact_accepts=true
op,target,delta,accepted,reason,old_epoch,new_epoch,old_t,new_t,old_exposure,final_exposure,transient_exposure,live_rows,stale_rows,public_rows,cert_weight,cert_verified,exact_final_rank,exact_transient_rank,metadata_guard_ns,cert_online_ns,cert_full_ns,local_compute_ns,local_verify_ns,local_update_ns,local_total_ns,total_ns,exact_rank_audit_ns
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,false,2,3,23958,0,0,0,0,0,0,24084,7583
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,false,2,2,26916,0,0,0,0,0,0,27000,10250
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,false,1,1,21875,0,0,0,0,0,0,22000,5125
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,false,1,2,24959,0,0,0,0,0,0,25083,8208
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,false,2,3,31709,0,0,0,0,0,0,31833,7250
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,false,2,2,26666,0,0,0,0,0,0,26792,10125
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,false,1,1,21917,0,0,0,0,0,0,22041,5167
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,false,1,2,22500,0,0,0,0,0,0,22625,5792
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,false,2,3,24458,0,0,0,0,0,0,24584,7958
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,false,2,2,26667,0,0,0,0,0,0,26750,10125
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,false,1,1,21500,0,0,0,0,0,0,21583,5125
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,false,1,2,22667,0,0,0,0,0,0,22750,5791
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,false,2,3,23792,0,0,0,0,0,0,23916,7083
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,false,2,2,27083,0,0,0,0,0,0,27167,10459
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,false,1,1,22000,0,0,0,0,0,0,22042,5250
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,false,1,2,22709,0,0,0,0,0,0,22833,6083
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,false,2,3,23750,0,0,0,0,0,0,23875,7208
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,false,2,2,26500,0,0,0,0,0,0,26625,10083
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,false,1,1,21417,0,0,0,0,0,0,21542,5166
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,false,1,2,22334,0,0,0,0,0,0,22416,5875
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,false,2,3,23667,0,0,0,0,0,0,23791,7042
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,false,2,2,26958,0,0,0,0,0,0,27042,10500
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,false,1,1,22042,0,0,0,0,0,0,22125,5375
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,false,1,2,22334,0,0,0,0,0,0,22458,5792
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,false,2,3,23875,0,0,0,0,0,0,24000,7042
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,false,2,2,26708,0,0,0,0,0,0,26792,10000
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,false,1,1,21875,0,0,0,0,0,0,22000,5167
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,false,1,2,22708,0,0,0,0,0,0,22792,5834
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,false,2,3,23666,0,0,0,0,0,0,23792,7375
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,false,2,2,27208,0,0,0,0,0,0,27333,10459
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,false,1,1,21709,0,0,0,0,0,0,21833,5209
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,false,1,2,22584,0,0,0,0,0,0,22666,5875
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,false,2,3,23917,0,0,0,0,0,0,24000,7125
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,false,2,2,26708,0,0,0,0,0,0,26834,10042
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,false,1,1,22042,0,0,0,0,0,0,22167,5583
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,false,1,2,22708,0,0,0,0,0,0,22792,5792
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,false,2,3,24209,0,0,0,0,0,0,24375,7542
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,false,2,2,26875,0,0,0,0,0,0,26958,10042
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,false,1,1,21709,0,0,0,0,0,0,21833,5167
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,false,1,2,22708,0,0,0,0,0,0,22792,5833
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,false,2,3,24250,0,0,0,0,0,0,24375,7416
